Timestamp,Target_Current,Amps_Squared,Target_RPM,Actual_Current,Fan_RPM,PWM_Duty,Tamb_C,Thot_C,Tcold_C
1780916365,0.25,0.0625,4000,0.248,4031,237,32.375,35,26.5
1780916366,0.25,0.0625,4000,0.248,3920,242,32.375,35.125,26.5
1780916367,0.25,0.0625,4000,0.248,3996,238,32.375,35.125,26.5
1780916368,0.25,0.0625,4000,0.248,4074,234,32.375,35,26.5
1780916548,0.5,0.25,4000,0.502,3988,235,32.25,35.25,21
1780916549,0.5,0.25,4000,0.501,3995,235,32.25,35.188,21
1780916550,0.5,0.25,4000,0.501,3988,234,32.313,35.188,21
1780916551,0.5,0.25,4000,0.502,4023,234,32.313,35.125,21
1780916733,0.75,0.5625,4000,0.755,3996,233,32.25,35.563,16.25
1780916734,0.75,0.5625,4000,0.755,4063,232,32.25,35.688,16
1780916735,0.75,0.5625,4000,0.755,4036,231,32.25,35.75,16.062
1780916736,0.75,0.5625,4000,0.754,4047,231,32.25,35.75,16.125
1780916925,1,1,4000,1.007,4073,232,32.188,36,12
1780916926,1,1,4000,1.007,3999,235,32.188,35.938,12
1780916927,1,1,4000,1.007,3993,234,32.188,35.875,12
1780916928,1,1,4000,1.007,3937,236,32.188,36,11.938
1780917122,1.25,1.5625,4000,1.258,4005,232,32.25,36.813,8.25
1780917123,1.25,1.5625,4000,1.259,4019,232,32.25,37,8.25
1780917124,1.25,1.5625,4000,1.259,4025,232,32.25,36.875,8.25
1780917125,1.25,1.5625,4000,1.259,3971,235,32.25,36.813,8.25
1780917337,1.5,2.25,4000,1.51,4059,230,32.313,37.563,5
1780917338,1.5,2.25,4000,1.51,4009,231,32.313,37.625,5.062
1780917339,1.5,2.25,4000,1.51,4035,230,32.313,37.563,5
1780917340,1.5,2.25,4000,1.511,4021,230,32.313,37.5,5.062
1780917540,1.75,3.0625,4000,1.761,4023,232,32.438,38.375,2.5
1780917541,1.75,3.0625,4000,1.763,3944,236,32.438,38.375,2.5
1780917542,1.75,3.0625,4000,1.763,3978,235,32.438,38.375,2.5
1780917543,1.75,3.0625,4000,1.763,3988,236,32.438,38.438,2.5
1780918232,0.25,0.0625,4000,0.25,3994,237,32.563,35.125,26.5
1780918233,0.25,0.0625,4000,0.249,4065,236,32.563,35.063,26.5
1780918234,0.25,0.0625,4000,0.249,4022,235,32.5,35,26.5
1780918235,0.25,0.0625,4000,0.249,3976,237,32.5,35.063,26.5
1780918417,0.5,0.25,4000,0.502,3986,239,32.5,35.438,21
1780918418,0.5,0.25,4000,0.502,4058,237,32.5,35.563,21
1780918419,0.5,0.25,4000,0.503,4093,233,32.5,35.313,21
1780918420,0.5,0.25,4000,0.502,4034,233,32.5,35.375,21
1780919036,0.25,0.0625,4000,0.248,3992,237,32.313,35.063,26.5
1780919037,0.25,0.0625,4000,0.248,4052,235,32.313,34.938,26.5
1780919038,0.25,0.0625,4000,0.248,4031,235,32.313,35.063,26.5
1780919039,0.25,0.0625,4000,0.248,3947,238,32.313,35,26.5
1780919227,0.5,0.25,4000,0.501,4033,235,32.375,35.563,21.062
1780919228,0.5,0.25,4000,0.501,4000,237,32.375,35.375,21.062
1780919229,0.5,0.25,4000,0.501,3952,238,32.375,35.438,21
1780919230,0.5,0.25,4000,0.5,4030,235,32.438,35.438,21
1780919419,0.75,0.5625,4000,0.753,3993,235,32.438,35.813,16.25
1780919420,0.75,0.5625,4000,0.754,3953,237,32.438,35.938,16.25
1780919421,0.75,0.5625,4000,0.754,3946,238,32.438,35.688,16.25
1780919422,0.75,0.5625,4000,0.754,4032,234,32.438,35.625,16.25
1780919605,1,1,4000,1.006,3984,234,32.5,36.313,12.25
1780919606,1,1,4000,1.007,4018,234,32.5,36.375,12.25
1780919607,1,1,4000,1.007,4005,235,32.438,36.313,12.188
1780919608,1,1,4000,1.006,3952,239,32.438,36.375,12.25
1780919801,1.25,1.5625,4000,1.259,3985,236,32.5,36.813,8.5
1780919802,1.25,1.5625,4000,1.258,3957,239,32.5,36.813,8.5
1780919803,1.25,1.5625,4000,1.258,4061,236,32.5,37.125,8.5
1780919804,1.25,1.5625,4000,1.259,4075,234,32.5,36.813,8.5
1780920006,1.5,2.25,4000,1.51,3981,236,32.5,37.875,5.25
1780920007,1.5,2.25,4000,1.51,4057,232,32.5,37.563,5.25
1780920008,1.5,2.25,4000,1.511,4030,233,32.5,37.625,5.25
1780920009,1.5,2.25,4000,1.509,4001,234,32.5,37.875,5.25
1780920209,1.75,3.0625,4000,1.762,3992,237,32.563,38.25,2.5
1780920210,1.75,3.0625,4000,1.763,3980,237,32.563,38.5,2.5
1780920211,1.75,3.0625,4000,1.762,4019,236,32.563,38.25,2.5
1780920212,1.75,3.0625,4000,1.762,4004,237,32.5,38.5,2.5
1780920426,2,4,4000,2.015,4024,235,32.625,39.313,0
1780920427,2,4,4000,2.014,3997,234,32.625,39.438,0
1780920428,2,4,4000,2.014,4019,234,32.625,39.313,0
1780920429,2,4,4000,2.015,3956,235,32.563,39.125,0
1780920638,2.25,5.0625,4000,2.266,3946,237,32.5,40,-2
1780920639,2.25,5.0625,4000,2.267,4003,235,32.5,39.938,-2
1780920640,2.25,5.0625,4000,2.265,3982,237,32.5,39.813,-2
1780920641,2.25,5.0625,4000,2.265,4005,236,32.438,40.313,-2
1780920844,2.5,6.25,4000,2.519,4063,232,32.438,41.188,-3.688
1780920845,2.5,6.25,4000,2.518,4006,234,32.438,41.063,-3.75
1780920846,2.5,6.25,4000,2.518,3973,235,32.438,41.25,-3.75
1780920847,2.5,6.25,4000,2.518,3981,235,32.438,41.188,-3.75
1780921049,2.75,7.5625,4000,2.77,4024,233,32.5,42.563,-4.75
1780921050,2.75,7.5625,4000,2.769,3967,236,32.5,42.875,-4.812
1780921051,2.75,7.5625,4000,2.77,4018,234,32.5,42.5,-4.812
1780921052,2.75,7.5625,4000,2.768,4005,233,32.5,42.438,-4.812
1780921269,3,9,4000,3.021,4036,232,32.5,43.813,-5.75
1780921270,3,9,4000,3.018,4013,233,32.438,43.938,-5.75
1780921271,3,9,4000,3.02,3988,234,32.438,44.063,-5.75
1780921272,3,9,4000,3.021,4016,233,32.5,43.875,-5.75
1780921487,3.25,10.5625,4000,3.272,3950,237,32.688,45.25,-6.25
1780921488,3.25,10.5625,4000,3.274,3966,237,32.688,45.188,-6.25
1780921489,3.25,10.5625,4000,3.271,3975,236,32.688,45.375,-6.25
1780921490,3.25,10.5625,4000,3.272,3974,237,32.688,45.25,-6.25
1780921714,3.5,12.25,4000,3.522,3955,234,32.75,46.625,-6.75
1780921715,3.5,12.25,4000,3.522,4023,232,32.75,46.688,-6.75
1780921716,3.5,12.25,4000,3.522,3984,233,32.75,46.688,-6.75
1780921717,3.5,12.25,4000,3.524,3977,234,32.75,46.813,-6.75
1780921962,3.75,14.0625,4000,3.776,4029,234,32.563,48.313,-6.75
1780921963,3.75,14.0625,4000,3.77,4046,232,32.563,48.25,-6.75
1780921964,3.75,14.0625,4000,3.775,3956,235,32.563,48.188,-6.75
1780921965,3.75,14.0625,4000,3.775,4022,234,32.563,48.25,-6.75
1780922209,4,16,4000,4.025,4022,232,32.5,50,-6.562
1780922210,4,16,4000,4.025,3966,234,32.563,50,-6.5
1780922211,4,16,4000,4.028,4010,232,32.5,49.813,-6.5
1780922212,4,16,4000,4.027,3976,234,32.563,49.875,-6.5
1780922636,0.25,0.0625,3800,0.254,3734,225,32.188,35,26
1780922637,0.25,0.0625,3800,0.254,3870,220,32.125,34.813,26
1780922638,0.25,0.0625,3800,0.254,3852,219,32.125,35.125,26
1780922639,0.25,0.0625,3800,0.254,3838,220,32.125,35.063,26
1780922827,0.5,0.25,3800,0.506,3749,223,32.25,35.313,20.75
1780922828,0.5,0.25,3800,0.506,3805,222,32.25,35.313,20.75
1780922829,0.5,0.25,3800,0.506,3772,223,32.25,35.375,20.75
1780922830,0.5,0.25,3800,0.506,3742,224,32.25,35.313,20.75
1780923022,0.75,0.5625,3800,0.758,3810,223,32.313,36,16
1780923023,0.75,0.5625,3800,0.758,3739,226,32.313,35.813,16
1780923024,0.75,0.5625,3800,0.757,3786,225,32.313,36.063,16
1780923025,0.75,0.5625,3800,0.757,3848,220,32.25,35.938,16
1780923222,1,1,3800,1.01,3791,221,32.313,36.438,12
1780923223,1,1,3800,1.009,3824,220,32.313,36.5,12
1780923224,1,1,3800,1.009,3803,221,32.313,36.625,12
1780923225,1,1,3800,1.009,3810,220,32.313,36.375,12
1780923434,1.25,1.5625,3800,1.261,3826,221,32.375,37.063,8.25
1780923435,1.25,1.5625,3800,1.261,3739,224,32.375,37.188,8.25
1780923436,1.25,1.5625,3800,1.26,3844,222,32.375,37.313,8.25
1780923437,1.25,1.5625,3800,1.262,3818,223,32.375,37.313,8.25
1780923639,1.5,2.25,3800,1.513,3773,224,32.375,37.625,5.25
1780923640,1.5,2.25,3800,1.512,3820,221,32.375,37.75,5.25
1780923641,1.5,2.25,3800,1.513,3747,223,32.375,37.813,5.25
1780923642,1.5,2.25,3800,1.512,3836,220,32.375,37.813,5.25
1780923849,1.75,3.0625,3800,1.764,3792,221,32.375,38.5,2.438
1780923850,1.75,3.0625,3800,1.765,3764,224,32.375,38.625,2.375
1780923851,1.75,3.0625,3800,1.764,3805,223,32.375,38.625,2.313
1780923852,1.75,3.0625,3800,1.765,3831,220,32.375,38.375,2.438
1780924065,2,4,3800,2.016,3817,221,32.313,39.563,0
1780924066,2,4,3800,2.016,3845,219,32.313,39.25,0
1780924067,2,4,3800,2.014,3791,221,32.313,39.25,0
1780924068,2,4,3800,2.016,3792,220,32.313,39.563,0
1780924271,2.25,5.0625,3800,2.266,3838,221,32.25,40.375,-1.812
1780924272,2.25,5.0625,3800,2.266,3763,224,32.313,40.563,-1.937
1780924273,2.25,5.0625,3800,2.267,3814,221,32.25,40.438,-1.937
1780924274,2.25,5.0625,3800,2.268,3814,222,32.25,40.438,-2
1780924496,2.5,6.25,3800,2.518,3754,223,32.375,41.563,-3.5
1780924497,2.5,6.25,3800,2.519,3805,223,32.375,41.438,-3.375
1780924498,2.5,6.25,3800,2.519,3810,222,32.375,41.563,-3.375
1780924499,2.5,6.25,3800,2.518,3834,219,32.375,41.75,-3.313
1780924710,2.75,7.5625,3800,2.77,3819,221,32.375,43.188,-4.5
1780924711,2.75,7.5625,3800,2.771,3774,223,32.375,43.313,-4.5
1780924712,2.75,7.5625,3800,2.771,3836,220,32.375,43.125,-4.5
1780924713,2.75,7.5625,3800,2.77,3832,220,32.438,43,-4.5
1780924925,3,9,3800,3.022,3837,220,32.375,44.438,-5.5
1780924926,3,9,3800,3.022,3779,223,32.375,44.5,-5.5
1780924927,3,9,3800,3.021,3806,221,32.375,44.625,-5.5
1780924928,3,9,3800,3.022,3820,220,32.375,44.5,-5.5
1780925161,3.25,10.5625,3800,3.273,3761,222,32.375,45.813,-6
1780925162,3.25,10.5625,3800,3.271,3856,219,32.375,45.813,-6
1780925163,3.25,10.5625,3800,3.271,3794,220,32.375,45.813,-6
